"VALUE,N,9,0","CLASS_NAME,C,32","RED,N,19,11","GREEN,N,19,11","BLUE,N,19,11","OPACITY,N,19,11"
159,,0,0,0,1
160,,0,0,0,1
161,,0,0,0,1
162,,0,0,0,1
163,,0,0,0,1
164,,0,0,0,1
165,,0,0,0,1
166,,0,0,0,1
167,,0,0,0,1
168,,0,0,0,1
169,,0,0,0,1
170,,0,0,0,1
171,Grassland Herbaceous,0.9098039216,1,0.7490196078,1
172,,0,0,0,1
173,,0,0,0,1
174,,0,0,0,1
175,,0,0,0,1
176,,0,0,0,1
177,,0,0,0,1
178,,0,0,0,1
179,,0,0,0,1
180,,0,0,0,1
181,Pasture/Hay,0.9098039216,1,0.7490196078,1
182,,0,0,0,1
183,,0,0,0,1
184,,0,0,0,1
185,,0,0,0,1
186,,0,0,0,1
187,,0,0,0,1
188,,0,0,0,1
189,,0,0,0,1
190,Woody Wetlands,0.4980392157,0.6980392157,0.6980392157,1
191,,0,0,0,1
192,,0,0,0,1
193,,0,0,0,1
194,,0,0,0,1
195,Herbaceous Wetlands,0.4980392157,0.6980392157,0.6980392157,1
196,,0,0,0,1
197,,0,0,0,1
198,,0,0,0,1
199,,0,0,0,1
200,,0,0,0,1
201,,0,0,0,1
202,,0,0,0,1
203,,0,0,0,1
204,Pistachios,0,1,0.5490196078,1
205,Triticale,0.8392156863,0.6196078431,0.737254902,1
206,Carrots,1,0.4,0.4,1
207,Asparagus,1,0.4,0.4,1
208,Garlic,1,0.4,0.4,1
209,Cantaloupes,1,0.4,0.4,1
210,Prunes,1,0.5568627451,0.6666666667,1
211,Olives,0.2,0.2862745098,0.2,1
212,Oranges,0.8980392157,0.4392156863,0.1490196078,1
213,Honeydew Melons,1,0.4,0.4,1
214,Broccoli,1,0.4,0.4,1
215,,0,0,0,1
216,Peppers,1,0.4,0.4,1
217,Pomegranates,0.6980392157,0.6078431373,0.4392156863,1
218,Nectarines,1,0.5568627451,0.6666666667,1
219,Greens,1,0.4,0.4,1
